,county,case_id,state,areaname,median_family_income,total_cost,index
1332,Placer,217,CA,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",111357.234375,102424.40964,0.4237889081701456
1333,Plaquemines Parish,1157,LA,"New Orleans-Metairie, LA HUD Metro FMR Area",68485.1875,83320.16424,0.2409543087253028
1334,Platte,1588,MO,"Kansas City, MO-KS HUD Metro FMR Area",83455.63020833333,80066.1612,0.39285453626154015
1335,Pleasants,3058,WV,"Pleasants County, WV",72961.125,72141.75816,0.37150424240968916
1336,Plumas,218,CA,"Plumas County, CA",76149.421875,78186.73308,0.34571572116673505
1337,Plymouth,870,IA,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area | Brockton, MA HUD Metro FMR Area |  |",97783.6171875,86063.85504,0.45753608101963833
1338,Pocahontas,871,IA,"Pocahontas County, IA",65724.056640625,70879.71282,0.3135402383225542
1339,Poinsett,167,AR,"Poinsett County, AR HUD Metro FMR Area",50856.640625,60196.784759999995,0.25672989592672774
1340,Pointe Coupee Parish,1158,LA,"Baton Rouge, LA HUD Metro FMR Area",59523.05078125,73108.38227999999,0.23559414301654155
1341,Polk,168,AR,"Cleveland, TN MSA",66461.4873046875,69783.13531,0.3308672504911684
1342,Pondera,1657,MT,"Pondera County, MT",66244.65625,71390.87496,0.3139903277973094
1343,Pontotoc,1480,MS,"Pontotoc County, MS",60259.287109375,63511.65678,0.32837940444543495
1344,Pope,169,AR,"Pope County, AR",67769.83463541667,66140.45912,0.38065580318067305
1345,Poquoson city,2971,VA,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",112442.5859375,85127.8086,0.584837574832523
1346,Portage,2137,OH,"Akron, OH MSA",79321.796875,69832.09416000001,0.457341673846241
1347,Porter,767,IN,"Gary, IN HUD Metro FMR Area",88405.6171875,77557.8486,0.46008056639117045
1348,Portsmouth city,2972,VA,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",63014.26171875,76450.38684,0.2425384067105988
1349,Posey,768,IN,"Evansville, IN-KY MSA",80211.546875,72911.871,0.43268216910756113
1350,Pottawatomie,969,KS,"Manhattan, KS MSA",71441.421875,72185.88432,0.35656735589380795
1351,Pottawattamie,873,IA,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",75942.0,72156.78636,0.39983318718583005
1352,Potter,2324,PA,"Amarillo, TX HUD Metro FMR Area",60798.028645833336,66982.2856,0.3000385440182473
1353,Powder River,1658,MT,"Powder River County, MT",63172.390625,72572.19012,0.2744003113904833
1354,Powell,1098,KY,"Powell County, KY",62217.958984375,66369.08496,0.3205652092552387
1355,Power,596,ID,"Power County, ID",61492.50390625,68122.21332000001,0.2965963298342612
1356,Poweshiek,874,IA,"Poweshiek County, IA",76504.703125,65630.83848,0.4778741476919382
1357,Powhatan,2919,VA,"Richmond, VA MSA",102904.3984375,80989.77936,0.5501795484152547
1358,Prairie,170,AR,"Prairie County, AR",60727.51953125,70168.89192,0.27093424270979
1359,Pratt,970,KS,"Pratt County, KS",67682.2109375,66169.28748,0.3794353669413396
1360,Preble,2138,OH,"Preble County, OH",73015.546875,63553.61988,0.4662937063483895
1361,Prentiss,1481,MS,"Prentiss County, MS",51666.8046875,58907.49288,0.27895438851265253
1362,Presidio,2741,TX,"Presidio County, TX",34313.4453125,62242.08672,0.05439744195065893
1363,Presque Isle,1323,MI,"Presque Isle County, MI",59858.82421875,65957.19708,0.299947011314426
1364,Preston,3060,WV,"Morgantown, WV MSA",67385.4609375,82368.77496,0.2382955457553739
1365,Price,3127,WI,"Price County, WI",61428.83984375,74014.36548000001,0.246472669867699
1366,Prince Edward,2920,VA,"Prince Edward County, VA",64415.87890625,69054.20087999999,0.31737860521583966
1367,Prince George,2921,VA,"Richmond, VA MSA",88286.5,91244.5446,0.34133072956535526
1368,Prince George's,1219,MD,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",100715.203125,86111.53128,0.4805677500553451
1369,Prince William,2922,VA,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",121311.28125,103448.9772,0.48268899851533914
1370,Prince of Wales-Hyder Census Area,89,AK,"Prince of Wales-Hyder Census Area, AK",66447.96875,77047.0434,0.2688566958291887
1371,Providence,2343,RI,"Providence-Fall River, RI-MA HUD Metro FMR Area",77648.5859375,74675.93003999999,0.39111350705341236
1372,Prowers,295,CO,"Prowers County, CO",50958.296875,64609.1724,0.21804601827201903
1373,Pueblo,296,CO,"Pueblo, CO MSA",61752.29296875,69194.94924,0.28953838390015446
1374,Pulaski,171,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",60348.474330357145,67397.34915428571,0.29158815103242136
1375,Pushmataha,2222,OK,"Pushmataha County, OK",49416.00390625,69739.15572000001,0.16281358681443175
1376,Putnam,380,FL,"New York, NY HUD Metro FMR Area",74194.34201388889,75033.92394666666,0.35596340167968765
1377,Quay,1843,NM,"Quay County, NM",47490.703125,63334.067520000004,0.19125331538068288
1378,Queen Anne's,1220,MD,"Baltimore-Columbia-Towson, MD MSA",114408.9609375,94175.0814,0.5117662349333754
1379,Queens,1896,NY,"New York, NY HUD Metro FMR Area",79063.5546875,124627.89936,0.11167975779701722
1380,Quitman,511,GA,"Quitman County, GA",40884.619140625,60229.57338,0.1422940649528119
1381,Rabun,512,GA,"Rabun County, GA",54292.3984375,60714.04968000001,0.290773472726951
1382,Racine,3128,WI,"Racine, WI MSA",79186.7734375,75106.4082,0.40112183795343653
1383,Radford city,2973,VA,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",67738.6875,72381.1272,0.3194673977349881
1384,Rains,2742,TX,"Rains County, TX",71082.03125,62635.68804,0.45662180333819186
1385,Raleigh,3062,WV,"Raleigh County, WV HUD Metro FMR Area",57283.54296875,77549.36184,0.18355254070344582
1386,Ralls,1592,MO,"Ralls County, MO",70678.4921875,68482.66308,0.3857762797492381
1387,Ramsey,1397,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",87397.78515625,75358.53245999999,0.4737919319637172
1388,Randall,2743,TX,"Amarillo, TX HUD Metro FMR Area",86615.859375,71508.87996,0.5092892575917733
1389,Randolph,56,AL,"Greensboro-High Point, NC HUD Metro FMR Area",56258.13037109375,65186.434095,0.26927066750269757
1390,Rankin,1483,MS,"Jackson, MS HUD Metro FMR Area",79464.015625,72347.01564,0.43148056055695155
1391,Ransom,2054,ND,"Ransom County, ND",81158.2734375,64922.53704,0.536045276519827
1392,Rapides Parish,1159,LA,"Alexandria, LA MSA",59113.34765625,65518.102679999996,0.2962967178151409
1393,Rappahannock,2924,VA,"Rappahannock County, VA HUD Metro FMR Area",100521.1328125,83660.2356,0.5025896185985439
1394,Ravalli,1661,MT,"Ravalli County, MT",68012.8515625,78726.75708,0.26987439905426647
1395,Rawlins,971,KS,"Rawlins County, KS",73332.8359375,65522.65536,0.4458344759929591
1396,Ray,1594,MO,"Kansas City, MO-KS HUD Metro FMR Area",78859.2109375,74722.07988,0.4018380660608424
1397,Reagan,2744,TX,"Reagan County, TX",81504.3203125,65888.478,0.5270335687305899
1398,Real,2745,TX,"Real County, TX",51289.9609375,63837.37728,0.2281995572648759
1399,Red Lake,1398,MN,"Red Lake County, MN",78916.71875,67604.78316,0.47900608090056834
1400,Red River,2746,TX,"Red River County, TX",53476.07421875,60145.941960000004,0.28724036010499976
1401,Red River Parish,1160,LA,"Red River Parish, LA",48774.23828125,61899.58212,0.2175231002380025
1402,Red Willow,1749,NE,"Red Willow County, NE",65066.88671875,77133.20556,0.25585134054932035
1403,Redwood,1399,MN,"Redwood County, MN",70873.5859375,66914.73036,0.4044543478845747
1404,Reeves,2747,TX,"Reeves County, TX",63816.2109375,62775.35664,0.3751041754959477
1405,Refugio,2748,TX,"Refugio County, TX",62782.19921875,60293.81832,0.39212223767302834
1406,Reno,972,KS,"Reno County, KS",64453.87109375,64271.05571999999,0.36563636161405816
1407,Rensselaer,1897,NY,"Albany-Schenectady-Troy, NY MSA",89855.4921875,89607.80159999999,0.36558102765216455
1408,Renville,1400,MN,"Renville County, MN",81636.265625,66272.51568,0.5234650752644318
1409,Republic,973,KS,"Republic County, KS",67764.359375,67156.09547999999,0.36991875578177236
1410,Reynolds,1595,MO,"Reynolds County, MO",52138.12109375,65293.38012,0.22480398154516307
1411,Rhea,2529,TN,"Rhea County, TN",58506.49609375,61144.67256,0.33393661090785476
1412,Rice,974,KS,"Rice County, KS",77195.2421875,68459.35356,0.45163031570933515
1413,Rich,2823,UT,"Rich County, UT",63759.73828125,74447.46204,0.2647250255883802
